249682	15069
14597	7820
249821	247685
8336	15087
12816	251291
13841	12078
246147	250324
13271	14692
8183	247487
248148	11508
14984	246036
1252	13198
14853	14489
247673	246264
7795	1300
251522	12558
248762	13240
249088	7970
8143	12825
233	13416
252090	623
13056	248125
249580	252243
246508	246025
13035	252315
685	252097
14852	14067
249083	249677
250027	16352
13757	246629
13774	11548
248790	250389
252767	16296
251522	248037
247889	14990
14572	12535
11549	7558
12325	8095
251207	248108
247961	11413
249820	251451
12813	248647
246680	251863
514	247567
12260	1430
16320	246147
12171	248555
252135	247156
11748	12751
252071	14128
249677	746
251187	247876
14312	246985
246728	14900
14312	15307
14151	249545
248165	251426
250811	8138
251612	252551
246010	248705
8392	252548
250964	14164
251155	249585
252128	252147
251822	252119
251053	15363
515	14925
13889	252245
252090	623
248547	249670
248697	12718
7982	12477
246776	247368
12734	246819
251384	247555
329	247410
12278	7503
14897	15066
247467	252210
582	248091
251155	246250
250289	252766
249857	1282
246178	248558
1312	249557
5715	14496
252278	250037
8360	251082
771	13774
15076	248805
249980	249178
250351	11749
14837	251814
249935	11355
13806	13932
13038	248092
14139	246816
252493	346
250068	247167
247397	15256
772	964
8248	252099
8540	251288
14917	250132
11881	251522
8464	250012
246679	13791
251958	13369
14597	247874
249845	249994
12082	13823
13043	15083
250490	7975
12710	247893
8222	14284
13652	12210
248353	252042
247257	12585
246656	12662
13357	5719
252140	246214
252278	11746
249599	14306
1259	15076
251114	12398
1251	779
250372	13817
251131	11413
247931	8455
8101	12834
7882	8409
246213	251427
11510	249673
249692	719
13036	14102
474	13391
1387	7534
1388	247344
248262	248547
248754	12083
247488	13116
247899	747
246014	247491
251942	7778
15051	252398
13194	247356
250231	246957
15092	8194
247810	7604
249857	14838
13841	247456
246935	13907
8289	250294
1048	1307
14928	248352
251189	249636
251265	697
338	251851
248560	7839
251289	251107
247458	15333
246131	251863
246067	8393
535	8275
8427	246636
14625	8079
1445	1025
247734	13376
13190	252235
636	704
249662	246845
249218	250344
251350	251613
338	5714
250955	12380
12773	250352
12506	7736
249511	251002
13655	250112
248149	252556
11442	8029
249204	487
246776	8061
249971	12968
247780	246289
15019	250040
14999	12236
251143	1297
13074	8532
12722	247258
251935	247741
14310	251556
246669	249624
252393	251379
251037	11520
250408	249536
8554	14507
8343	14103
7525	248034
743	11496
250354	250845
252120	250776
247983	250338
247916	247683
696	246146
8407	12719
246149	13722
15042	247464
247764	8151
11448	249827
248353	13742
247258	250338
247224	252745
13062	247789
12144	13277
247740	8126
15012	287
13956	12235
252141	382
744	247908
251033	14106
13655	246111
251180	246219
857	8343
11850	8536
8091	247883
13953	247803
247017	968
251031	246006
247848	7771
250306	544
249951	506
246119	252105
15105	252439
12281	14941
7880	12785
251023	251269
249949	763
246210	251946
5698	252732
250128	11475
12819	250410
248543	13125
252579	250498
16322	968
252070	251414
12097	251069
248829	449
252228	14944
251098	14030
249753	7974
11777	251267
249208	12456
250155	250419
8572	247251
8279	15073
250948	249151
247352	7975
250127	249584
248361	246830
247907	316
337	246718
251099	247762
251281	249027
248746	8038
15322	247790
249644	556
14668	252600
252626	349
14692	247698
250396	250067
252444	249817
12397	249437
12712	11437
8071	1388
13247	11405
12180	12610
267	246505
247187	247928
7638	247415
247557	13320
8429	249542
252016	13835
249877	251862
252446	14102
12170	15314
251098	252640
13741	246016
13049	1255
296	250458
13927	11791
247556	246858
15002	12573
1049	246765
12145	249808
714	15012
463	252360
12172	13467
252624	246942
249073	252579
13684	8519
8497	246082
246141	14618
14852	1250
252605	7849
956	251236
248755	1312
252130	16300
12831	246867
251450	5702
246593	8161
11414	1049
11747	620
251947	12761
249753	246092
246727	12633
13890	8172
7668	14263
248262	13818
13928	12564
251266	668
248778	247904
251198	13228
250791	234
7736	251424
246160	248244
13882	11501
8156	250332
247659	14198
251492	11510
698	14134
246059	248372
246203	248101
8343	247988
11430	12559
251419	8587
249800	248642
11413	11378
12312	12556
247594	14150
12748	11772
7821	249768
11878	12644
13093	12793
247612	11873
12097	252084
15068	8151
15303	8408
251418	8174
13879	12210
1286	7993
252133	766
12385	249445
7971	13234
249451	250257
248667	250299
607	13388
246983	252001
251390	247156
246230	248082
14674	14642
720	249023
13945	247539
7882	249761
247196	478
249051	247557
249928	248000
248551	13278
251511	14438
320	247539
7960	251365
247609	251364
250136	249530
13287	249778
14132	248887
7658	684
15277	13910
251196	252258
8529	252563
246144	387
247815	248336
249547	11809
252320	249184
246110	249578
13932	12739
8436	247815
311	13223
246152	668
250483	568
246511	250922
250134	12183
13191	251959
252531	14197
767	246174
246658	8552
13191	248631
1406	249051
251251	12516
252070	248200
251493	252356
246094	1298
248222	12485
252133	252097
1388	247344
247593	252161
250453	249872
13446	249647
246057	250201
251114	247766
248363	11826
247899	13963
250410	246188
251490	246731
252612	15104
12622	15171
249632	246989
250211	7509
14205	11520
249842	1048
8075	8161
14930	246983
251522	248037
247810	13860
250143	12517
250354	247533
14157	13380
8578	246175
250342	11856
12456	249627
11442	247190
14619	7812
247392	252358
8518	247723
251421	7562
11383	247823
8453	8403
14193	252750
8086	249753
5728	249626
251833	387
13264	8436
249545	247759
15046	8513
738	251833
248640	11358
514	12211
250967	13283
267	12139
251084	248294
14525	13846
250194	7534
12789	249274
14196	249973
12186	251508
247699	15088
251105	252364
251144	246119
249545	248552
246130	250121
13815	249820
247898	820
15364	251095
13413	13949
251286	251602
8217	252128
249502	251470
251070	247822
12253	11479
248543	252321
475	248654
14149	248745
14064	249607
247258	250338
249847	251207
8527	252111
15209	246110
247286	7948
7508	246219
246124	252404
12028	14588
252128	13328
246698	246020
446	247288
327	317
249136	8494
13788	246003
753	14202
12397	8249
13037	249972
15285	249692
1283	7580
247285	249061
251085	251202
249032	251190
247600	12483
247949	246791
700	371
1015	250789
800	14049
246004	247815
7960	348
247392	7707
250394	250176
13348	15272
1252	251609
251554	252641
247193	249188
12649	12550
1351	13907
7682	13657
11472	251170
11569	15285
249251	12257
8529	246068
251143	250411
6422	13687
246664	248325
249671	13113
249856	247678
252259	248714
249853	14275
725	247416
7638	246658
247515	247381
883	14124
246674	246071
12231	12546
246237	13343
13902	14201
248562	11480
252123	5717
247607	247415
11575	248767
247254	7913
561	13952
12237	11801
252648	11421
271	14944
11764	14929
8590	251856
8407	248570
13323	250979
247991	12617
249036	247744
251173	11748
249968	15321
7671	8146
249461	250494
8062	251541
12558	252097
251289	744
252394	13225
251965	251181
251985	246296
7674	13363
5648	721
252720	247814
250842	248172
250388	247271
14491	249627
249743	8164
12632	12748
252125	14100
328	825
252159	245984
251364	250081
252363	8410
14685	12456
12991	246923
13277	15056
250082	251585
251378	247164
247166	251605
12702	11856
250494	306
807	7762
249853	15290
252071	250063
249952	11867
7567	15002
14273	585
251876	251379
246960	15013
13783	8429
13280	246242
14966	8171
251958	12697
14035	14128
250027	16352
247502	251443
11519	15393
246758	248757
252257	13796
873	249626
14851	248080
249066	414
248262	15256
250972	250156
8332	12397
694	14835
12173	347
12209	252609
249893	251285
7808	12761
13348	14592
13904	8592
7677	246192
15071	249779
14990	13028
251355	8398
251483	14262
13257	11744
247565	13815
12622	252631
249188	249541
246730	12258
8320	252571
16329	8102
13866	8078
15256	8011
14999	252730
12278	249474
249840	1259
249599	252505
247179	15043
248198	250358
12071	8323
337	13116
13734	12036
246967	247780
247617	287
246007	246923
251994	250804
252759	233
232	8428
7882	252339
251493	252356
14090	252143
14205	250386
665	1264
1461	11484
246210	247876
15046	249462
248373	12670
8256	247643
252121	12042
11510	249673
251364	252315
14310	252510
278	251195
1247	13961
249523	248630
363	247014
251324	249038
246125	13043
252724	13124
13421	247692
252546	251044
247610	8151
252450	7798
250277	14865
16320	252324
13740	248124
7899	12165
551	251330
246777	13684
12042	12081
12836	7972
252432	12231
15046	13227
7501	249269
14920	532
250109	1017
12102	8031
251098	13054
251196	12296
270	14858
247815	248336
249210	8289
8431	729
12648	12108
249922	1306
249586	249101
249846	251098
248771	8252
248550	11549
13266	248125
248172	1359
252230	322
252146	250087
698	11405
14587	251289
247942	7948
11439	12189
251974	12187
14129	251881
249971	249113
11777	742
13430	12787
249507	246175
12294	247180
251429	246690
249566	251353
250239	248355
320	7913
463	12662
15195	11739
251940	251987
251220	247762
14587	247569
8236	248698
249616	249643
12733	248108
776	7919
250190	247749
250495	12787
251098	12098
7638	13875
251483	574
375	12093
249068	248808
13267	14089
252046	13228
